DiskSize,DiskType,Inputs,MachineType,NodeCount,PriceHourlyPerNode,ResponseTimes,Zone,PriceHourly,CPUPerNode,CPUs,NumberAndMachine
30,pd-standard,9410,n1-highcpu-8,2,0.312,0.540769,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9458,n1-highcpu-8,2,0.312,0.528394,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,16592,n1-highcpu-8,2,0.312,1.530091,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6267,n1-highcpu-8,2,0.312,0.23412,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9257,n1-highcpu-8,2,0.312,0.494943,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12654,n1-highcpu-8,2,0.312,0.916241,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7513,n1-highcpu-8,2,0.312,0.323052,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7918,n1-highcpu-8,2,0.312,0.371434,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14303,n1-highcpu-8,2,0.312,1.163723,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,5161,n1-highcpu-8,2,0.312,0.159505,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7490,n1-highcpu-8,2,0.312,0.33431,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,6676,n1-highcpu-8,2,0.312,0.260878,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,9846,n1-highcpu-8,2,0.312,0.56083,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11122,n1-highcpu-8,2,0.312,0.720141,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7923,n1-highcpu-8,2,0.312,0.361432,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,14472,n1-highcpu-8,2,0.312,1.198343,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,4912,n1-highcpu-8,2,0.312,0.158064,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7984,n1-highcpu-8,2,0.312,0.37788,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,12523,n1-highcpu-8,2,0.312,0.906168,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,11417,n1-highcpu-8,2,0.312,0.761138,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10812,n1-highcpu-8,2,0.312,0.677645,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,17665,n1-highcpu-8,2,0.312,1.771247,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,10275,n1-highcpu-8,2,0.312,0.617516,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,16078,n1-highcpu-8,2,0.312,1.465597,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
30,pd-standard,7152,n1-highcpu-8,2,0.312,0.29846,europe-west2-a,0.624,8,16,2 n1-highcpu-8's
